sample_id,vOTU_id,phageID,phageLen,linear_or_circular,integrase,virsorter_category,cat_taxonomy,img_vr_cluster,assigned_family
SAMP_yahara2021_Sample1,vOTU_yahara2021_00022,VIRSorter_contig_274_pilon_gene_81_gene_186-68600-136513-cat_5,67913,l,yes,5,Terrabacteria group (no rank): 0.60,VIRSorter_contig_274_pilon_gene_81_gene_186-68600-136513-cat_5;VIRSorter_contig_31_pilon_gene_183_gene_303-153276-242063-cat_5;VIRSorter_contig_31_pilon_gene_180_gene_289-150899-232370-cat_5;VIRSorter_contig_31_pilon_gene_160_gene_271-137742-214325-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00023,VIRSorter_contig_1189_pilon_gene_1349_gene_1448-1118853-1183923-cat_4,65070,l,NA,4,Lachnospiraceae (family): 0.91,VIRSorter_contig_1189_pilon_gene_1349_gene_1448-1118853-1183923-cat_4;7000000647_____SRS020220_Baylor_scaffold_46155;3300008518_____Ga0115191_102856;7000000494_____SRS021477_Baylor_scaffold_79308;VIRSorter_contig_1189_pilon_gene_1338_gene_1456-1108181-1186888-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00024,VIRSorter_contig_1992_pilon-cat_2,87898,l,yes,2,Lactobacillales (order): 0.84,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00025,VIRSorter_contig_478_pilon_gene_13_gene_112-10383-92275-cat_5,81892,l,yes,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00026,VIRSorter_contig_183_pilon_gene_862_gene_911-737953-786301-cat_5,48348,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00027,VIRSorter_contig_6_pilon_gene_1546_gene_1619-1204870-1273326-cat_5,68456,l,no,5,Terrabacteria group (no rank): 0.51,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00028,VIRSorter_contig_412_pilon_gene_2040_gene_2103-1693876-1760591-cat_5,66715,l,no,5,Streptococcus (genus): 0.73,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00029,VIRSorter_contig_1231_pilon_gene_426_gene_506-410879-470204-cat_5,59325,l,NA,5,Prevotellaceae (family): 0.92,VIRSorter_contig_1231_pilon_gene_426_gene_506-410879-470204-cat_5;3300007782_____Ga0105808_100196;7000000607_____C827444;7000000525_____SRS019124_WUGC_scaffold_12823;7000000558_____SRS019125_WUGC_scaffold_7193;VIRSorter_contig_1231_pilon_gene_426_gene_543-410879-503128-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00030,VIRSorter_contig_1340_pilon_gene_112_gene_240-90066-203884-cat_5,113818,l,no,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00031,VIRSorter_contig_1138_pilon_gene_1_gene_64-1789-58282-cat_5,56493,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00032,VIRSorter_contig_1235_pilon_gene_63_gene_82-55051-66128-cat_4,11077,l,NA,4,Terrabacteria group (no rank): 0.52,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00033,VIRSorter_contig_2985_pilon-cat_2,34391,l,yes,2,Bacteria (superkingdom): 0.60,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00034,VIRSorter_contig_672_pilon_gene_173_gene_231-153114-211527-cat_5,58363,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00035,VIRSorter_contig_297_pilon_gene_19_gene_136-34542-137258-cat_5,102716,l,yes,5,Bacilli (class): 0.95,VIRSorter_contig_297_pilon_gene_19_gene_136-34542-137258-cat_5;3300006745_____Ga0101799_100677;7000000286_____SRS024081_LANL_scaffold_62282;2124908013_____t300_2968594;7000000737_____SRS050669_LANL_scaffold_69154;7000000496_____C2763843;7000000446_____C1543183;7000000571_____SRS017713_Baylor_scaffold_25651;7000000527_____C5923454;7000000571_____C3361205;3300008136_____Ga0113979_104489;7000000393_____C2809327;7000000523_____C2216171;3300008269_____Ga0114154_103212;7000000085_____SRS018145_Baylor_scaffold_12724;7000000393_____SRS019327_WUGC_scaffold_40479,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00036,VIRSorter_contig_43_pilon_gene_1_gene_58-0-55826-cat_5,55826,l,no,5,Terrabacteria group (no rank): 0.56,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00037,VIRSorter_contig_31_pilon_gene_183_gene_303-153276-242063-cat_5,88787,l,yes,5,Bacteria (superkingdom): 0.91,VIRSorter_contig_274_pilon_gene_81_gene_186-68600-136513-cat_5;VIRSorter_contig_31_pilon_gene_183_gene_303-153276-242063-cat_5;VIRSorter_contig_31_pilon_gene_180_gene_289-150899-232370-cat_5;VIRSorter_contig_31_pilon_gene_160_gene_271-137742-214325-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00038,VIRSorter_contig_102_pilon_gene_727_gene_835-590723-672349-cat_5,81626,l,no,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00039,VIRSorter_contig_130_pilon_gene_1_gene_37-0-32488-cat_5,32488,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00040,VIRSorter_contig_3047_pilon-cat_2,64430,l,no,2,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00041,VIRSorter_contig_387_pilon_gene_934_gene_1000-832016-893683-cat_5,61667,l,no,5,Streptococcus (genus): 0.79,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00042,VIRSorter_contig_90_pilon_gene_2159_gene_2299-1892500-2001183-cat_5,108683,l,no,5,Lachnospiraceae bacterium (species): 0.58,VIRSorter_contig_90_pilon_gene_2159_gene_2299-1892500-2001183-cat_5;3300008150_____Ga0114319_1004615,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00043,VIRSorter_contig_937_pilon_gene_142_gene_257-134852-203191-cat_5,68339,l,yes,5,Bacteria (superkingdom): 0.83,VIRSorter_contig_495_pilon_gene_619_gene_700-496697-547684-cat_4;3300007854_____Ga0114157_100476;7000000447_____C3571256;7000000501_____C1097348;3300006291_____Ga0099556_100276;3300012660_____Ga0118289_100446;7000000149_____SRS013881_WUGC_scaffold_12411;7000000390_____C799524;3300007854_____Ga0114157_100919;3300008140_____Ga0114165_1006102;VIRSorter_contig_937_pilon_gene_142_gene_257-134852-203191-cat_5;7000000149_____SRS013881_WUGC_scaffold_5959;3300008346_____Ga0115410_102398;3300006291_____Ga0099556_100197,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00044,VIRSorter_contig_3131_pilon_gene_47_gene_206-49290-179123-cat_5,129833,l,yes,5,Peptostreptococcus (genus): 0.92,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00045,VIRSorter_contig_866_pilon_gene_129_gene_229-102448-200660-cat_5,98162,l,no,5,Bacteria (superkingdom): 0.98,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00046,VIRSorter_contig_1079_pilon_gene_122_gene_134-86031-103304-cat_5,17273,l,no,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00047,VIRSorter_contig_1290_pilon-cat_2,72056,l,NA,2,Fusobacterium (genus): 0.92,VIRSorter_contig_1290_pilon-cat_2;3300008742_____Ga0115672_104493;7000000737_____SRS050669_LANL_scaffold_67706;3300008515_____Ga0115189_1004548;3300008534_____Ga0111050_102097;VIRSorter_contig_1886_pilon_gene_173_gene_272-152715-249861-cat_4;7000000550_____SRS075404_LANL_scaffold_28107;3300008575_____Ga0111079_101386;3300008271_____Ga0111085_101678;7000000396_____SRS049268_LANL_scaffold_10154;3300006321_____Ga0099624_102240;3300011980_____Ga0119777_1001968;3300007646_____Ga0105530_1002955;3300008150_____Ga0114319_1004016,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00048,VIRSorter_contig_736_pilon_gene_131_gene_206-109522-162115-cat_5,52593,l,yes,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00049,VIRSorter_contig_478_pilon_gene_4_gene_103-3655-83738-cat_5,80083,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00050,VIRSorter_contig_663_pilon_gene_54_gene_71-38750-55757-cat_5,17007,l,NA,5,Terrabacteria group (no rank): 0.58,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00051,VIRSorter_contig_82_pilon_gene_211_gene_353-202834-337866-cat_5,135032,l,NA,5,Prevotella (genus): 0.94,VIRSorter_contig_82_pilon_gene_211_gene_353-202834-337866-cat_5;3300008472_____Ga0115373_1001237;3300007358_____Ga0104765_101207;7000000185_____SRS017120_Baylor_scaffold_79831;3300007662_____Ga0105539_100612;7000000185_____C3007682;7000000698_____SRS024318_LANL_scaffold_55858;7000000394_____SRS019607_WUGC_scaffold_10460;7000000394_____SRS019607_WUGC_scaffold_26727;7000000057_____SRS013818_Baylor_scaffold_33013;7000000527_____C5922804;3300007662_____Ga0105539_101504,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00052,VIRSorter_contig_90_pilon_gene_1456_gene_1577-1284631-1377477-cat_5,92846,l,NA,5,Lachnospiraceae bacterium (species): 0.58,VIRSorter_contig_90_pilon_gene_1456_gene_1577-1284631-1377477-cat_5;7000000074_____SRS065099_LANL_scaffold_98100;VIRSorter_contig_90_pilon_gene_1456_gene_1517-1284631-1324700-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00053,VIRSorter_contig_709_pilon_gene_894_gene_1038-759694-889433-cat_5,129739,l,NA,5,Lachnospiraceae (family): 0.90,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00054,VIRSorter_contig_1391_pilon-cat_2,72255,l,NA,2,Prevotellaceae (family): 0.95,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00055,VIRSorter_contig_511_pilon_gene_82_gene_124-66618-108032-cat_5,41414,l,NA,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00056,VIRSorter_contig_46_pilon_gene_1208_gene_1254-1277066-1312121-cat_5,35055,l,NA,5,Prevotellaceae (family): 0.89,VIRSorter_contig_46_pilon_gene_1208_gene_1254-1277066-1312121-cat_5;7000000710_____SRS023930_Baylor_scaffold_4384;7000000644_____C749823,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00057,VIRSorter_contig_784_pilon_gene_34_gene_50-24014-42676-cat_5,18662,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00058,VIRSorter_contig_1_pilon_gene_87_gene_127-63498-99938-cat_5,36440,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00059,VIRSorter_contig_458_pilon_gene_90_gene_193-65636-143680-cat_5,78044,l,NA,5,Lactobacillales (order): 0.90,VIRSorter_contig_458_pilon_gene_90_gene_193-65636-143680-cat_5;3300014037_____Ga0119816_1004289;3300014037_____Ga0119816_1006410,"Podoviridae,Podoviridae"
SAMP_yahara2021_Sample1,vOTU_yahara2021_00060,VIRSorter_contig_722_pilon_gene_35_gene_189-18454-134729-cat_5,116275,l,NA,5,Stomatobaculum longum* (species): 0.77,VIRSorter_contig_722_pilon_gene_35_gene_189-18454-134729-cat_5;3300008502_____Ga0115179_101230;3300008502_____Ga0115179_103922;7000000653_____SRS016740_Baylor_scaffold_73361,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00061,VIRSorter_contig_327_pilon_gene_868_gene_899-669405-697574-cat_5,28121,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00062,VIRSorter_contig_222_pilon_gene_105_gene_139-83295-116515-cat_5,33220,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00063,VIRSorter_contig_78_pilon_gene_5_gene_120-2196-80914-cat_5,78718,l,NA,5,Bacteria (superkingdom): 0.99,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00064,VIRSorter_contig_105_pilon_gene_429_gene_439-369827-379032-cat_5,9205,l,NA,5,Bacteria (superkingdom): 0.95,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00065,VIRSorter_contig_1189_pilon_gene_1338_gene_1456-1108181-1186888-cat_5,78707,l,NA,5,Lachnospiraceae (family): 0.91,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00066,VIRSorter_contig_1617_pilon_gene_29_gene_138-20658-93260-cat_5,72602,l,NA,5,Streptococcus (genus): 0.53,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00067,VIRSorter_contig_36_pilon_gene_163_gene_262-134787-209076-cat_4,74289,l,NA,4,Bacteria (superkingdom): 0.93,VIRSorter_contig_36_pilon_gene_163_gene_262-134787-209076-cat_4;7000000205_____SRS011247_Baylor_scaffold_772;7000000266_____SRS017537_Baylor_scaffold_4193;3300006291_____Ga0099556_100126;3300008618_____Ga0111234_100566;7000000725_____SRS014472_WUGC_scaffold_3943;7000000210_____SRS024015_Baylor_scaffold_52452;VIRSorter_contig_36_pilon_gene_176_gene_331-142120-255616-cat_5;VIRSorter_contig_36_pilon_gene_163_gene_275-134787-220031-cat_5,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00068,VIRSorter_contig_390_pilon_gene_95_gene_194-84561-167491-cat_4,82930,l,NA,4,Firmicutes (phylum): 0.52,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00069,VIRSorter_contig_1504_pilon_gene_1_gene_147-7404-110038-cat_5,102634,l,NA,5,Proteobacteria (phylum): 0.90,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00070,VIRSorter_contig_341_pilon_gene_723_gene_754-541014-565349-cat_5,24335,l,NA,5,Terrabacteria group (no rank): 0.54,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00071,VIRSorter_contig_183_pilon_gene_822_gene_903-706313-775543-cat_5,69230,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00072,VIRSorter_contig_2185_pilon_gene_25_gene_56-22132-53235-cat_5,31054,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00073,VIRSorter_contig_1231_pilon_gene_426_gene_543-410879-503128-cat_5,92249,l,NA,5,Prevotellaceae (family): 0.92,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00074,VIRSorter_contig_193_pilon_gene_85_gene_96-60074-75777-cat_5,15703,l,NA,5,Bacteria (superkingdom): 1.00,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00075,VIRSorter_contig_105_pilon_gene_299_gene_359-261545-299595-cat_4,38050,l,NA,4,Bacteria (superkingdom): 0.95,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00076,VIRSorter_contig_433_pilon_gene_78_gene_136-65260-105667-cat_4,40361,l,NA,4,Terrabacteria group (no rank): 0.50,VIRSorter_contig_433_pilon_gene_78_gene_136-65260-105667-cat_4;3300008333_____Ga0115302_103415;VIRSorter_contig_433_pilon_gene_78_gene_134-65260-103861-cat_4,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00077,VIRSorter_contig_615_pilon-cat_2,42223,l,NA,2,root (no rank): 1.00,VIRSorter_contig_615_pilon-cat_2;7000000551_____SRS021473_Baylor_scaffold_10298;7000000644_____SRS063272_LANL_scaffold_4546;7000000537_____C1180867;3300008485_____Ga0110912_101712;7000000039_____SRS013164_Baylor_scaffold_55328;3300006744_____Ga0101797_1002808;VIRSorter_contig_3239_pilon-cat_2;7000000096_____SRS058186_LANL_scaffold_3892;3300007774_____Ga0105576_100166;7000000324_____SRS062878_LANL_scaffold_14720,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00078,VIRSorter_contig_64_pilon_gene_275_gene_303-225660-246038-cat_5,20378,l,NA,5,Terrabacteria group (no rank): 0.64,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00079,VIRSorter_contig_630_pilon_gene_105_gene_224-82041-163263-cat_5,81222,l,NA,5,Oribacterium (genus): 0.90,VIRSorter_contig_630_pilon_gene_105_gene_224-82041-163263-cat_5;7000000224_____SRS014573_WUGC_scaffold_44040;3300007123_____Ga0102684_101978;3300008133_____Ga0111365_104018;7000000442_____SRS051791_LANL_scaffold_45508;3300006748_____Ga0101800_102773;3300007924_____Ga0113552_104312,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00080,VIRSorter_contig_709_pilon_gene_3236_gene_3347-2729483-2806373-cat_5,76890,l,NA,5,Lachnospiraceae (family): 0.90,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00081,VIRSorter_contig_4727_pilon-cat_2,36173,l,NA,2,Firmicutes (phylum): 0.55,VIRSorter_contig_4727_pilon-cat_2;3300008277_____Ga0114260_100550,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00082,VIRSorter_contig_194_pilon_gene_308_gene_341-238652-259298-cat_5,20646,l,NA,5,Bacteria (superkingdom): 0.96,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00083,VIRSorter_contig_894_pilon_gene_790_gene_900-656065-760782-cat_5,104717,l,NA,5,Lachnospiraceae (family): 0.90,NA,NA
SAMP_yahara2021_Sample1,vOTU_yahara2021_00084,VIRSorter_contig_90_pilon_gene_88_gene_142-80222-119008-cat_5,38786,l,NA,5,Lachnospiraceae bacterium (species): 0.58,NA,NA
